Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.0,0.0,0.098,0.033,0.0,palm kernel oil,0.0,40.0,0.0,0.0,4.5,0.0,palm kernel oil
0.0,0.0,0.0,0.0,0.0,mustard oil,0.0,124.0,0.0,0.0,14.0,0.0,mustard oil
0.0,0.0,0.0,0.0,0.0,rice bran oil,0.001,120.0,0.0,0.0,13.6,0.0,rice bran oil
0.0,0.2,0.06,28.6,62.9,vegetable macaroni dry,3.6,308.0,0.0,3.6,0.9,11.0,vegetable macaroni dry
0.0,0.048,0.5,11.2,37.5,chow mein noodles,2.6,257.0,0.5,1.5,9.9,5.9,chow mein noodles
0.031,0.2,0.088,0.0,111.9,chinese noodles,0.1,456.0,0.0,0.7,0.094,0.2,chinese noodles
0.0,0.045,0.015,14.7,35.7,vegetable macaroni cooked,0.7,172.0,1.5,5.8,0.1,6.1,vegetable macaroni cooked
0.0,0.048,0.027,4.2,83.2,corn pasta dry,1.0,375.0,0.0,11.6,2.2,7.8,corn pasta dry
0.0,0.029,0.095,13.3,27.1,egg noodles dry,0.7,146.0,0.7,1.3,1.7,5.4,egg noodles dry
0.0,0.024,0.002,11.3,21.2,whole wheat spaghetti dry,1.0,98.0,0.0,0.0,0.4,4.1,whole wheat spaghetti dry
0.0,0.023,0.2,9.9,21.1,japanese soba noodles dry,0.8,95.0,0.0,0.0,0.2,4.1,japanese soba noodles dry
0.0,0.091,0.006,5.1,23.6,rice noodles dry,0.2,103.0,0.0,0.5,0.2,1.0,rice noodles dry
0.0,0.007,0.094,16.4,21.2,spinach spaghetti dry,0.6,105.0,0.8,3.0,0.4,3.8,spinach spaghetti dry
0.029,0.2,0.027,0.0,20.1,egg noodles cooked,0.051,110.0,0.3,1.0,1.7,3.6,egg noodles cooked
0.0,0.039,0.3,14.1,48.5,japanese somen noodles cooked,0.9,231.0,0.0,0.0,0.3,7.0,japanese somen noodles cooked
0.0,0.023,0.028,42.0,78.8,whole wheat macaroni dry,3.8,365.0,0.0,8.7,1.5,15.4,whole wheat macaroni dry
0.0,0.0,0.0,0.0,4.1,pasta marinara and ground beef sauce,0.0,41.0,1.0,0.5,1.6,2.5,pasta marinara and ground beef sauce
0.0,0.2,0.097,22.1,78.4,macaroni raw,3.5,390.0,2.8,3.4,1.6,13.7,macaroni raw
0.0,0.061,0.09,5.9,21.1,spaghetti dry,0.9,105.0,0.8,0.9,0.4,3.7,spaghetti dry
0.0,0.0,0.0,0.0,3.4,fusilli cucina,0.0,100.0,0.041,0.0,0.4,0.0,fusilli cucina
0.0,0.028,0.5,6.5,21.0,japanese somen noodles dry,0.4,101.0,0.0,1.2,0.2,3.2,japanese somen noodles dry
0.0,0.1,0.073,13.8,57.3,pasta cooked,2.6,301.0,0.0,0.0,2.4,11.8,pasta cooked
